"NAME","TARIFF","0 TO 1 HOURS","1 TO 2 HOURS","2 TO 3 HOURS","3 TO 4 HOURS","4 TO 5 HOURS","5 TO 6 HOURS","6 TO 7 HOURS","7 TO 8 HOURS","8+ HOURS","MONTHLY SEASON TICKET","QUARTERLY SEASON TICKET"
"Ashdale Street","TL3","£0.30","£0.60","£0.90","£1.20","£1.50","£1.80","£2.10","£2.40","£2.70","N/A","N/A"
"Bankmore Street Car Park","TM12","£1.20","£2.40","£3.60","£4.80","£6.60","£8.40","£10.20","£12.00","£13.80","N/A","N/A"
"Charlotte Street Car Park","TM7","£0.70","£1.40","£2.10","£2.80","£3.50","£4.50","£5.50","£6.50","£7.50","N/A","N/A"
"Corporation Square Car Park","TL4","£0.40","£0.80","£1.20","£1.60","£2.00","£2.40","£2.80","£3.20","£3.60","£54.60","£132.60"
"Corporation Street Car Park","TL4","£0.40","£0.80","£1.20","£1.60","£2.00","£2.40","£2.80","£3.20","£3.60","£54.60","£132.60"
"Cromac Street Car Park","TL6","£0.60","£1.20","£1.80","£2.40","£3.00","£3.60","£4.20","£4.80","£5.40","£81.90","£198.90"
"Dunbar Street Car Park","TM10","£1.20","£2.40","£3.60","£4.80","£6.60","£8.40","£10.20","£12.00","£13.80","N/A","N/A"
"Exchange Street Car Park","TM8","£0.80","£1.60","£2.40","£3.20","£4.00","£5.00","£6.00","£7.00","£8.00","N/A","N/A"
"Frederick Street Car Park","TL4","£0.40","£0.80","£1.20","£1.60","£2.00","£2.40","£2.80","£3.20","£3.60","£54.60","£132.60"
"Hope Street North Car Park","TM12","£1.20","£2.40","£3.60","£4.80","£6.60","£8.40","£10.20","£12.00","£13.80","N/A","N/A"
"Kent Street Car Park","TM10","£1.00","£2.00","£3.00","£4.00","£5.00","£6.00","£7.00","£8.00","£9.00","N/A","N/A"
"Lancaster Street - York Street","TL4","£0.40","£0.80","£1.20","£1.60","£2.00","£2.40","£2.80","£3.20","£3.60","£54.60","£132.60"
"Little Donegall Street Car Park","TL6","£0.60","£1.20","£1.80","£2.40","£3.00","£3.60","£4.20","£4.80","£5.40","£81.90","£198.90"
"Little Victoria Street Car Park","TM12","£1.20","£2.40","£3.60","£4.80","£6.60","£8.40","£10.20","£12.00","£13.80","N/A","N/A"
"Marlborough Avenue","TL2","£0.20","£0.40","£0.60","£0.80","£1.00","£1.20","£1.40","£1.60","£1.80","N/A","N/A"
"Smithfield Car Park","TM12","£1.20","£2.40","£3.60","£4.80","£6.60","£1.20","£1.40","£1.60","£1.80","N/A","N/A"
"Station Street Car Park","TL6","£0.60","£1.20","£1.80","£2.40","£3.00","£3.60","£4.20","£4.80","£5.40","£81.90","£198.90"